Besoins_Title for which search is required,For testing,Descriptif,Keywords
 Ingénieur Etudes et Développement ReactJS (Hauts de France),X,"Nous recherchons pour un de nos clients, un ingénieur etudes et développement react js
Compétences souhaitées
• Vos maîtres-mots sont : performances, maintenabilité, évolutivité.
• Vous êtes reconnu pour votre rigueur, votre dynamisme et votre leadership.
• La maîtrise de l'anglais est indispensable.
• React JS (Expert)
• JavaScript (Maitrisé)
Environnement de travail :
• Méthodologie Agile SCRUM : Sprint Planning, Daily Meeting, Rétrospective, Démo
• Langages HTML5, CSS3, JavaScript, Vanilla, jQuery, React, la POO.
Expérience souhaitée :
• Vous justifiez d'au moins 4 années d'expérience en tant que développeur Frontend, et plus particulièrement dans le domaine du e-commerce.","Etudes et Développement, ReactJS, HTML5, CSS3, javascript, vanilla, jQuery, agile scrum, ingenieur"
Technicien support N2 - Winstore (Hauts de France) ,X,"
Nous recherchons pour un de nos clients, un technicien support N2-Winstore
Compétences souhaitées
• Vous justifiez d'une expérience similaire dans un environnement Caisse.
• Vous avez le sens du service et des capacités d'organisation (planification de ses taches, gestion des priorités)
• Bon pédagogue, vous êtes autonome et rigoureux
• Vous maîtrisez Winstore et Office 365 à GSuite
• Vous maîtrisez le Français et l'Anglais. L'espagnol est un plus
Environnement de travail :
• Winstore impératif
• TPE environnement caisse
• Windows et Mac OS
• Outils de ticketing : Service Now
• Office 365 à GSuite
• PDA Android

","Winstore, Android, Guite, anglais, support technique, technicien"
Consultant devops 6-8 ans d'exp,X,"Nous recherchons pour un de nos clients, un devOps XL deploy XL release
Compétences souhaitées : 
•  XLDeploy, XLRelease, Python, Jenkins…
•  Finance 
Mission
=> Longue/Démarrage : ASAP ","devops, dev Ops, XLdeploy, XL release, python, Jenkins, bancaire, finance"
Ingénieur Réseau et sécurité,X,"Nous recherchons pour un de nos clients, un ingenieur réseau et securité
Compétences souhaitées:
• Bonne connaissance des environnements techniques : Cisco, Nexus, Fortinet, F5, Palo Alto 
Expérience souhaitée:
• Minimum 5 ans 
TJM cible : selon profil","reseau,  securite, Cisco, nexus, Fortinet, Palo Alto, ingenieur"
Ingénieur IOS,X,"Nous recherchons pour un de nos clients, un ingenieur Ios
Compétences souhaitées:
• Environnement technique : Swift, Clean archi
Expériences souhaitées:
• Minimum 4 ans
TJM cible : selon profil","IOS, Swift,ingenieur,ingénieur "
Ingénieur JAVA 8,X,"Nous recherchons pour un de nos clients, un ingénieur java 8
Compétence souhaitée
•  Environnement technique : JAVA 8, Spring Boot, NOSQL, RabbitMQ  
Expérience souhaitée:
•  Minimum 5 ans à senior
Compétence souhaitée
•  Environnement technique : JAVA 8, Spring Boot, NOSQL, RabbitMQ
TJM cible : selon profil","Java 8,  Sprint boot,  nosql,  No SQL, rabbitMq, analyse, Ingenieur"
Développeur support et intégration  Z/OS,X,"Nou recherchons pour un de nos clients, un développeur support et intégration Z/Os
Compétences souhaitées:
• Environnement technique : Z/OS et les composants de base (MVS, TSO, JES2, ISPF, RACF, RMF, SMF …) 
• Tivoli NETVIEW, DB2 et outillage (Tools) 
Expérience souhaitée
• Minimum  5 ans
TJM cible : selon profil",Z/os DB2 MVS TSO JES2 RACF RMF SMF developpeur support
Expert progiciel Reflex,X,"
Nous recherchons pour un de nos clients, un expert progiciel reflex:
Compétences souhaitées:
•  Environnement technique : Maîtrise de l’application REFLEX Versions 3.23-3.27 
•  Connaissance des particularités de la gestion logistique de la monnaie fiduciaire dans les caisses modernisées, y compris en centre automatisé 
Expérience souhaitée
• Expérience souhaitée : 6 ans","Reflex, expert, gestion logistique"
Développeur VueJS-React,X,"Nous recherchons pour un de nos clients, un développeur Vue Js
 Expérience souhaitée
• Minimum 4-5 ans 
plusieurs postes ouverts - PRE-EMBAUCHE
TJM cible : selon profil","vuejs, vue js, react, developpeur web "
"Ingénieur Cybersécurité Gouvernance, Risk & Compliance",X,"Nous recherchons pour un de nos clients, un ingenieur cybersecurite gouvernance Risk & compliance
Compétence souhaitée:
• Environnement technique : IAM, RGPD, cyber sécurité, Conformité RGPD + anglais 
 Expérience souhaitée:
• Minimum 4 ans
TJM cible : selon profil","cybersécurité, RGPD, IAM, compliance, risque, cyber securite, gouvernance, ingenieur,ingénieur "
Ingénieur infrastructure et système,X,"Nous recherchons pour un de nos clients, un ingenieur infrastructure et système
Compétences souhaitées:
• Environnement technique : infrastructure, système Windows, virtualisation, exchange 2013-2016 - active directory, anglais + allemand courant obligatoire
Expérience souhaitée:
• Minimum 5 ans
TJM cible : selon profil",ingenieur infrastructure systeme 
Développeurs SSIS,X,"Nous recherchons pour un de nos clients, plusieurs developpeur securite système d'information
Contexte
Recherche de developpeur SSIS pour rejoindre la DSI Data de l’un de nos clients, secteur assurance. il s’agit de renforcer l’équipe de développement SSIS pour consolider le socle technologique ETL afin de répondre aux demandes croissantes des entités métiers
Compétences souhaitées:
• Maitrise de l’ETL SSIS (Visual Studio 2015 / Microsoft SQL Server Management Studio 2016)
•  Maitrise du langage SQL (notamment des Procédures Stockées)
•  Maitrise des Base de Données SQL Server (2017)
Mission
=> 6 mois/début de missions : Février 2020
","SSIS, Data, ETL, SQL, SQL Server"
recherche consultant DATAHUB confirmé,X,"Nous recherchons pour un de nos clients, un consultant DATAHUB confirmé 
Expérience souhaitée
• Minimum 4-5 ans d’expérience.  
Compétences souhaitée: 
•Data HUB (3 ans min), SQL / Oracle 
• Finance 
=> Longue /Demarrage asap","Data hub, sql, oracle, confirme, technique "
PMO Confirmé,X,"Nous recherchons pour un de nos clients, un PMP confirmé
Compétences souhaitées:
•  Pilotage pour assurer le suivi de projets :
• Préparer et consolider les statuts des projets pour les comités de pilotage en collaboration avec les chefs de projets
• Préparer et consolider les informations budgétaires sur les projets en cours, fournir ces tableaux de suivi au management et aux chefs de projets
• Assurer la coordination avec la cellule PMO centrale
• Créer et ouvrir de nouveaux projets dans le logiciel de gestion de projet (« SPI »)
Mission
=>6 mois","PMO, pilotage, budget, budgetaire, management, SPI, pilotage, confirme, senior, gestion projet, vision stratégique, transversale, amélioration, documentation, reproting, culture projet"
Architecte Entreprise Confirmé,X,"Nous recherchons pour un de nos clients, un architecte entreprise confirmé
Compétences souhaitées
• Intervenir en phase amont à la rédaction de Dossiers d’Orientation d’Architecture des programmes 
• Contribuer au processus de sélection des éditeurs et intégrateurs 
• Accompagner le programme pour décrire et maintenir l’architecture de la solution, sur les dimensions fonctionnelles - applicatives - données, ainsi que son intégration avec l’écosystème 
• Assurer la coordination des travaux avec la communauté des architectes 
• Porter des études d’impact et de faisabilité sur le périmètre Bout en Bout 
• Suivre le processus projet de validation des livrables d’architecture 
• Très bonnes connaissances du Retail (Métier et SI). 
• Culture variée autours des SI. 
qualité relationnelle et humaine recherchée
Mission 
=> 6 mois",Architecture entreprise technique
Chef de Projets confirmé - Expert WMS Info log,X,"Nous recherchons pour un de nos clients, un chef de projet confirmé expert WMS
Expérience souhaitée:
• Minimum 10 ans
Mission
• Assurer la gestion de projets de taille plus ou moins importante en utilisant la méthodologie d’entreprise et assisté par le PMO du Domaine
• Analyser les expressions de besoins des utilisateurs
• Rédiger les documents du Projet (RACI, Note de Cadrage, Planning…)
• Réaliser les chiffrages
• Suivre le budget
• Suivre l’avancement 
• Coordonner les différentes équipes transverses
• Organiser les différents Comités et les animer
• Accompagner le CP MOA dans son activité
• Prendre en compte les demandes d’évolution des utilisateurs
• Assurer le bon déploiement du projet (documentation utilisateurs, analyse des problématiques utilisateurs, conduite du changement et accompagnement à l'utilisation, suivi des actions à mettre en œuvre)
• Assurer la remontée des alertes projets
• Assurer le reporting au Responsable du Pôle
Compétences souhaitées:
Vous coordonnez avec le Pôle MCO du Département, pour la mise en place du Maintien en Conditions Opérationnelles
• Expertise fonctionnelle du WMS Infolog de l’éditeur GENERIX, idéalement également de TMS
• Gestion de projets SI d’envergure dans le domaine Supply Chain (idéalement de la Grande Distribution)
•Connaissances opérationnelles / terrain de la gestion d’un entrepôt","chef projet SI, analyse, besoin, RACI, planning, budget, WMS, Info log, coordination, pilotation, avancement, supply Chain"
Expert Line change Manager,X,"Nous recherchons pour un de nos clients , un expert line change manager
Vous travaillerez principalement  sur du back et en environnement Web mobile.
Compétences souhaitées
•  Conception et modélisation de système d’information ;
• Technologie Docke
Expérience souhaitée :
• Minimum  5 ans d’expérience en tant qu’architecte applicatif.
","web mobile, architecte applicatif, conduite du changement, docke, expert, change manager, infrastructure réseau, cyber sécurité"
Consultant Sauvegarde (H/F),X,"Nous recherchons pour un de nos clients, un consultant sauvegarde
Le contexte : 
Le client a mis en place sa propre infrastructure de CLOUD, de type IAAS, à vocation interministérielle. 
Ce CLOUD, baptisé NUBO, s’appuie principalement sur des composants issus du monde du logiciel libre : Open Stack, Glance, Cinder, Swift, etc.
Mission : 
•   Avant de trouver les solutions techniques nécessaires pour répondre à ce sujet, il faudra tout d'abord et avant tout, avec l'aide du prestataire, définir la ou les différentes classes de services de sauvegarde à mettre en place.
•   Vous trouverez ci-dessous la fiche de description de la mission à pourvoir:
Compétences souhaitées:
•   Expertise sur l’état l’art des solutions de sauvegarde et mécanismes afférents
•   Expertise sur les principaux outils de sauvegarde du marché et/ou du monde libre
•   Très bonne connaissance de l’environnement de travail Linux et du Scripting Shell
•  Connaissance en open source
","Sauvegarde, infogereur, adminitration sauvegardes, open source, linux, Scripting Shell, cloud open stack,infrastructure de sauvegarde, incident, évolution des infrastructures"
Développeur Faveod ,X,"Nous recherchons un développeur Faveod
Expérience souhaitée
* Minimum 3 ans",faveod developpeur
Développeur Graph talk ,X,"Nous recherchons un développeur Graph talk 
Expérience souhaitée
* Minimum 3 ans",graph talk developpeur
 Développeur IOS ,X,"Nous recherchons pour un de nos clients un Dev IOS
Expérience souhaitée
 * Entre 3 à 5  ans",IOS developpeur
Tech Lead NodeJS ,X,"Nous recherchions pour un de nos clients, un Tech Lead NodeJS
Expérience souhaitée
 * Minimum 3 ans","Tech lead, nodejs, equipe, coordination"
Tech Lead ReactJS ,X,"Nous recherchons pour un de nos clients, un Tech Lead ReactJS 
Expérience souhaitée
* Minimum 3 ans ","Tech lead, reactjs, equipe, coordination"
Tech Lead mobile IOS ,X,"Nous recherchons pour un de nos clients, un tech lead mobile
Expérience souhaitée
* Minimum 3 ans ","mobile iOS, tech lead, equipe, coordination"
 Chef de projet Technique/Scrum Master ,X,"Nous recherchons pour un de nos clients, un chef de projet technique
Expérience souhaitée:
* Minimum 3 ans ","CP, chef projet technique"
Développeur .Net/PL SQL,X,"Nous recherchons pour un de nos clients, un développeur. net
Expérience souhaitée:
•  > 5 ans",".net, PL SQL, developpeur"
Développeur Javascript,X,"Nous recherchons pour un de nos clients, un développeur javascript 
Compétence recherchée:
• Environnement anglophone qui nécessite la maitrise de l’anglais à l’oral et à l’écrit
•  Formation Ingénieur Ecole Informatique (Bac +5), idéalement issu(e) d’une préparation CPEG 
• Connaissances des technologies Web et de l’informatique industrielle
• Bonnes capacités de synthèse pour proposer et faire valider les solutions techniques
• Autonomie dans la Gestion des développements
• Maitrise du langage JAVA ainsi que les technologies de développement de Web Services REST, et aisance avec les outils de développement : SVN, Eclipse, TOMEE, Ivy, MAIVEN 
• Maitrise des techniques d'Architecture de code (Design Pattern, Algorithmie) et de modélisation des données
• Idéalement la connaissance des techniques des moteurs de règles (Drools) et moteurs de recherche (Elastic Search) serait un plus ainsi qu'une première expérience dans le domaine du développement d’applications web basées sur des web services","Javascript,  java webservice,  rest SVN, Eclipse,  Maven, elastic search, front end, back end, analyse"
Ingénieur sécurité et réseaux,X,"
Nous recherchons pour un de nos clients, un ingénieur sécurité et réseaux
Compétences souhaitées
• F5 (GTM/ASM/LTM/APM)
• Palo Alto 
• Azure
Expérience souhaitée:
•Minimum 4 ans d'expérience","securite et reseaux, azure, Palo Alto, ingenieur"
Ingénieur Citrix XenApp,X,"Nous recherchons pour un de nos clients, un ingénieur Citrix Xen app:
Compétences souhaitées:
La principale mission est le maintien en condition opérationnel des infrastructures Citrix. 
*  Validation des patchs de sécurité des nouvelles versions des composants de l’infrastructure Citrix. 
*  Rédiger et maintenir à jour toutes les documentations relatives à l’exploitation des infrastructures Citrix par les équipes OPS. 
* Gestion des licences Citrix par user. 
* Automatisation des installations applicatives sur les serveurs Citrix XenApp. 
* Création des publications et gestion par groupe AD 
* Implémentation et maintien des GPO Citrix (Polices AD et Citrix) 
* Capacité planning à fournir tous les trimestres. 
* Mise en place d’alerte pour la supervision de l’infrastructure 
* Gestion des enregistrements session 
* Assurer le suivi en matière d’obsolescence 
* Assurer le suivi en matière d’amélioration continue et d’évolution des infrastructures Citrix. 
* Gestion des incidents : les niveaux de support sont définis comme suit : 
•  Le support Niv1 est assuré par l’équipe d’exploitation 
•  Le support Niv2 est assuré par le soumissionnaire 
•  Le support Niv3 est assuré par les éditeurs.
Toutes les installations d’application sous Citrix sont automatisées.
Avoir des compétences en terme de packaging seraient un plus. 
Expérience souhaitée:
•  Minimum 5 ans d'expérience  sur les solutions Citrix XenApp.","ingenieur, Citrix xenapp, technique, infrastructure,expert technique Citrix, coordinateur Citrix ,support et résolution d’incident Citrix ,rédaction procédure d’exploitation"
Chef de projet technique Junior habilitable anglais courant (H/F),X,"Nous recherchons pour un de nos clients, un chef de projet technique junior
Prestations attendues :
Lot 1 : Etapes préparatoires
• Analyse des résultats du pilote, propositions d’amélioration et contribution à leur mise en place et au suivi des modifications associées avec l’équipe N3
• Réalisation d’une communication à destination des utilisateurs finaux pour la gestion de l’update ; présentation aux équipes IT des impacts et de l’organisation associée au changement
• Identification des lots de déploiement en collaboration avec le métier et les équipes N3
• Définition de la Gestion des Incidents, avec Suivi et Traitement
Lot 2 : Suivi du déploiement
•  Cadencement des lots : Communication & suivi opérationnel
•  Accompagnement des utilisateurs à la demande
•  Suivi et/ou traitement des incidents générés
• Participation à la résolu des incidents de nature SCCM / W10
• Point focal pour les domaines applicatifs / Areas Managers (rôle DSI en charge des relations avec les divisions métier) en cas d’incidents spécifiques applicatifs
• Animer le SharePoint Win10, vecteur de communication avec les utilisateurs finaux, pour mettre en avant les nouvelles fonctionnalités de la version considérée et prendre en compte les remontées.
Mission
=> 6 mois minimum","chef projet, technique, incident, traitement, junior, analyse, support, communication, Windows 10"
Ingénieur Skype For Business ,X,"Nous recherchons pour un de nos clients, un ingénieur Skype for business
Compétences souhaitées:
•  Skype for Business
•  Expérience dans un contexte multiculturel et international
•  Connaissances d'O365
•  Certifications Microsoft
•  Connaissances de Polycom
Savoir-être :
•  Capacité à travailler en équipe ainsi qu'en autonomie
•  Capacité à résumer, structurer et simplifier des sujets hautement techniques
• Posséder une Maîtrise en génie informatique ou dans un domaine technique connexe
Expérience souhaitée:
• Avoir plus de 5 ans d'expérience d'intégration progressive de solutions d'entreprise avec l'infrastructure et les applications des clients","Skype for business, Polycom, Skype entreprise, Microsoft office 365, equipe, organisation, technique, assistante MOA, AMOA"
"Ingénieur Système Windows, et VMWare",X,"Nous recherchons pour un de nos clients, un ingénieur système Windows et VMWare","ingénieur systeme, Windows, VMWare"
Chef de projet informatique,X,"Nous recherchons pour un de nos clients, un chef de projet IT","Chef projet informatique, technique"
Développeur Android,X,"Nous recherchons Pour l'un de nos clients , un développeur Android
Compétences souhaitées:
• Vous avez déjà réalisé plusieurs applications Android grand public à à forte notoriété
• Vous maîtrisez parfaitement la plateforme Android (APIs, optimisations, bonnes pratiques…) aussi bien en Java qu'en Kotlin.
Expérience souhaitée
• Idéalement, vous possédez également une expérience du développement dans d'autres environnements mobiles.
Mission 
=> Longue/Démarrage : ASAP","Android, developpeur mobile, analyse, tests"
Développeur Sénior C# / .NET,X,"Nous recherchons pour un de nos clients, un développeur sénior C#/ dot net
Compétences souhaitées : 
• Anglais courant
• Solide expérience de développement en C# / .NET, avec connaissance des modèles de programmation et développement dans un environnement multi-threaded.
• Expérience de développement d’applications Web, idéalement en utilisant Web API, Angular et Type script. 
• Expérience professionnelle dans un environnement TDD/Continuous Intégration and Déploiement.
• Expérience de travail avec des bases de données SQL Server et de développement de TSQL
• Solides compétences en résolution de problèmes.
=> Mission longue, démarrage ASAP
Expérience souhaitée:
• 8 ans d’expérience minimum","c#, .net,  dotnet,  application web,  api,  script, angular, developpeur senior"
Développeur Front end HTML/CSS/JQUERY,X,"Nous recherchons pour un de nos clients un développeur front end 
Compétences souhaitées:.
• Bonne maitrise de HTML5 et CSS3.
• Bonne maitrise de JQUERY est requise, pas de développement de modules customisés.
• Méthodologie Agile, GIT.
• Anglais
Mission
=> 6 mois renouvelables / ASAP "," Front end, HTML, CSS, JQUERY, developpeur anglais"
Développeur Java full stack /angular 8  ,X,"Nous recherchons pour un de nos clients un développeur Java Full stack
Compétence souhaitée:
• Participer à la rédaction des spécifications techniques
• Participer à l’animation des réunions techniques : méthode Agile
• Conception et développement de nouvelles fonctionnalités.
• Tests unitaires, tests intégrations
• Développement des batchs
• Développement BATCH Java ou Spark Apache type Big Data, SPRING, SQL, Maven, ANGULAR 8 ( Bonne maitrise)
Expérience souhaitée:
• BAC+2 avec 5 ans d’expérience minimum 
Mission
=> 6 mois renouvelables / ASAP","fullstack,  angular8,  Java, communication, analyse, front end, back end"
Développeur senior fullstack Dot.net Core/Angular 7-8  ,X,"Nous recherchons pour un de nos clients, un développeur fullstack
•  Développement Full stack .Net / ANGULAR  
•  Conception et Développement From Scratch d’un Applicatif de gestion client
• TMA + Recette + Tests et Suivi de MEP
• Autonome sur Taches Complexes (50% Back / 50% Front)
• Mise en Place de Tests Unitaires 
Expérience souhaitée:
• Obligatoire en environnement AGILE
• C#, .NET CORE 3.0, ANGULAR 7/8, SQL server, GIT, 
• Entity Framework, Link, Scrum, agile
• Elastic search, TU, Design pattern, Code review
Mission:
=> Durée : 6 mois renouvelable / Démarrage : ASAP","Full stack,  full stack,  .Net,  angular 7, angular 8, developpeur senior"
Business analyst Surfi ,X,"Nous recherchons pour un de nos clients, un business analyst surfi 
Expérience souhaitée: 
 • Min. 5 ans Exp sur la Règlementation Surfi
Compétences souhaitées:
•   Organisation Ateliers avec les métiers, spécifications fonctionnelles
•  Redaction de spécifications Fonctionnelles et Paramétrage AI Suite
•   Rendre compte au Product Owner et Assistance recette utilisateur
•   Suivi des Mises en Recette et des Mises en Production
•   Analyse des développements et des corrections à réaliser 
•   Bonne connaissance de la réglementation SURFI, EVOLAN Report
Lieu : 94 / Durée : 1 an renouvelable / Démarrage : ASAP"," business analyst, surfi, evolan, test, recette, efficacite, coordination, organisation, assistante, MOA AMOA"
Business Analyst/Proxy Product Owner,X,"Nous recherchons pour un de nos clients, un busines analyst /PPO
Expériences souhaitées
•  Minimum  8 ansen Lead Projets Techniques 
Compétences souhaitées:
•  Aider le BA/PO à suivre les développements réalisés en offshore
•  Conduire et contrôler les développements offshore
•  Être capable de lire et comprendre un programme Cobol
•  Proposer des solutions techniques en respect des contraintes Bred
• Participer ou animer les rituels AGILE de l'équipe (offshore et sur site)
•  Coordonner les équipes de Dev (Build) et l’équipe d’Exploitation (Run)
•  Anglais obligatoire
•  Cobol, Java, PHP, SQL, DATASTAGE, JIRA, AGILE
Mission
=>  3 mois renouvelables / Démarrage : ASAP","Business Analyst, Proxy Product Owner, cobol, agile, scrum, Jira, data stage, coordination, technique, assistante MOA, AMOA"
Expert JAVA,X,"Nous recherchons pour un de nos clients, un Expert Java 
Compétences requises :
• Bonne expérience des projets Java pour le cloud AWS
• Connaissance globale de l’exécution Java au sein d’AWS Lambdas, AWS SDK vers d’autres API, Junit,  
• Hamcrest, Powermock, Lombok, JAXRS, API Restful, Springboot
• Bonne compréhension des principes d’architecture AWS, AWS Dynamo dB, S3, Lambda, API-Gateway, Terraforma
• Maitrise de Git et Gitlab, Postman, Eclipse, Swagger
• Maitrise de Linux et Windows
• Bonne expérience des pratiques agiles
• Anglais courant
Expérience souhaitée
• 5 ans d’expérience minimum
• Anglais courant
Mission
=> Longue, démarrage ASAP","java, AWS,  lombock,  jaxrs api,  restful, springboot, Git, Gitlab,  Postman,  Eclipse, swagger, expert, anglais"
Lead développeur senior Android,X,"Nous recherchons pour un de nos clients,  un lead développeur senior Android
Compétence souhaitée
• Environnement technique : Android, 2 ans d’expérience en lead ou management d’équipe
Expérience souhaitée
• Minimum 6 ans 
TJM cible : selon profil","Android, lead developpeur, senior, coordination technique, pilotage, management equipe"
Ingénieur réseaux et sécurité ,X,"Nous recherchons pour un de nos clients, un ingénieur reseau et securité
Compétences souhaitées
• Environnement technique : Cisco, Nexus, Fortinet, F5, Palo Alto 
Expérience souhaitée:
•  Minimum 5ans","Ingenieur, Cisco, Nexus, Fortinet, Palo Alto "
Ingénieur IOS,X,"Nous recherchons pour un de nos clients, un ingénieur Ios
Compétence souhaitée
•  Environnement technique : Swift, Clean archi,
Expérience souhaitée :
•  Minimum 5ans 
TJM cible : selon profil","IOS, developpeur, Swift clean, technique, archi, ingenieur"
Développeur Python/No SQL ,X,"Nous recherchons pour un de nos clients, un développeur Python/No SQL
Compétence souhaitée:
•  Environnement technique : Python, No SQL, big data
Expérience souhaitée: 
•  Minimum 3 ans
TJM cible : selon profil","Python, No SQL, big data, developpeur"
Consultant AMOA Sirh,X,"
Nous recherchons pour un de nos clients, un consultant AMOA SIRH
Compétence souhaitée:
•  Environnement technique : domaine bancaire
Expérience souhaitée:
•  Minimum  5 ans 
TJM cible : selon profil","SIRH MOA, consultant, coordination, ressource humaine, système information ressources humaines "
Consultant CRM Dynamics ,X,"Nous recherchons pour un de nos clients un consultant CRM Dynamics:
Compétences souhaitées:
• Autonome,
• Communiquant, bon sens relationnel..
Expériences souhaitées:
• Profil expérimenté (entre 3 et 5 ans d’expérience sur CRM Dynamics spécifiquement).
Critère Obligatoire et de décision :  
• CRM  Dynamics
 Mission
=> Longue "," CRM,  Dynamics, technique"
E-Merchandiser connaissant Spakow,X,"Nous recherchons pour un de nos clients, un e-merchandiser connaissant Spakow
Descriptif du poste
Il sera en charge de :
•  De la structuration du catalogue produit e-commerce et PRINT au niveau du PIM (Akeneo) et la définition du workflow publication produits
• De l’enrichissement des données produits
•  De la définition de l’arborescence du catalogue sur le site (Spakow)
• De la mise en place actions de merchs sur le site  (Spakow)
• De management de 1 à 2 assistants catalogue / merch
Il sera en relation avec les équipes de la centrale d’achat, managers catégories produits, UX/UI Front, l'équipe informatique,  Akeneo, Sparkow, partenaires d’enrichissement données produits, etc.
Compétences souhaitées
• Spakow 
• Akeno
","emerchandiser, e-merchandiser, spakow,  akeno, technique"
EXPERT JAVA,X,"Nous recherchons pour un de nos clients , un expert java
Compétences recherchées:
•  De la structuration du catalogue produit e-commerce et Print au niveau du PIM (Akeneo) et la définition du workflow publication produits
• De l’enrichissement des données produits
•  De la définition de l’arborescence du catalogue sur le site (Spakow)
•  De la mise en place actions de merchs sur le site  (Spakow)
• De management de 1 à 2 assistants catalogue / merch
Autre information:
•  Il sera en relation avec les équipes de la centrale d’achat, managers catégories produits, UX/UI Front, l’équipe informatique,  Akeneo, Sparkow, partenaires d’enrichissement données produits, etc.
","Java,  spakow, expert"
Architecte technique,X," Nous recherchons un architecte digital expérimenté
Contexte
• Pour aider dans la mise en œuvre des changements d'architecture requis pour permettre un accroissement x100 des capacités de calcul et stockage d'AMeRisC. Pour les besoins internes de la DR, l’équipe de la DSI Risques a développé un ensemble d’outils de calcul distribués d’indicateurs de risques. Ces calculs sont distribués dans Data Synapse et Hadoop.  AMeRisC produit les indicateurs de risque de contrepartie suivants à partir de simulations Monte Carlo mettant en œuvre une architecture mixte Java et C++ :
Compétences souhaitées
• Etre à l'aise avec les niveaux d’expositions pour les limites
• Avoir une bonne connaissance de mesure EEPE pour les calculs de RWA
•Connaitre  les «xVA » (CVA, DVA, FV, etc.)
Expérience souhaitée
• 8 ans d’expérience minimum
Mission
=> Longue, démarrage ASAP
 ","java, C++, architecte, digital"
consultant 'UX/UI.,X,"Nous recherchons pour un de nos clients, un consultant UX/UI
Contexte
La nouvelle recrue intégrera une équipe de 10 personnes composée d'UX/UI.
Compétences souhaitées
• Figma (similaire à Sketch)
• Adobe After Effects
• Principal
• Testapic & Guerilla.
• Méthodologie : agile
Expérience souhaitée
•5 ans d'expérience minimum.
Mission
=> Longue (minimum 1 an)
","UX, IU, figma, adobe after effects, guerilla, agile"
Développement PL/SQL et Oracle Forms.,X,"Nous recherchons pour un de nos clients, un developpeur PL/SQL et oracle forms
Vous travaillerez principalement sur du back et en environnement Web mobile.
Compétences souhaitées
•  Conception et modélisation de système d’information ;
•  Technologie Docke
Expérience souhaitée
•  Minimum 5 ans d’expérience en tant qu’architecte applicatif.
","PL, SQL, oracle, Forms docke"
consultant technique MS Dynamics C#,X,"Nous recherchons pour un de nos clients, un consultant technique MS Dynamics C# 
Compétences souhaitées
• Recueillir les besoins auprès des AMOAs
• Intégrer le CRM à l'aide de .NET
• Paramétrer la solutions
Expérience souhaitée:
• Minimum  3 ans d'expérience avec MS Dynamics
Mission
=> Démarrage janvier"," MS Dynamics, C#, technique, consultant, communicant "
Développeur Frontend / Intégrateur Web (CSS3/HTML5/JavaScript),X,"
Nous recherchons pour un de nos clients, un developpeur front end/integrateur
Compétences recherchées
• Vous avez de bonnes connaissances des fondamentaux du web.
•  Vous avez la maîtrise de CSS3/HTML5/JavaScript et d’au moins un Framework tel que Bootstrap, JQuery. Une expérience de Docker et Python serait un plus.
•  Vous avez l’expérience de l'environnement projet SI (GIT, etc.).
• Vous avez de bonnes aptitudes sur l’intégration via des APIs RESTful.
• Vous avez le souci de la qualité de code et des bonnes pratiques de développement.ous recherchons pour un de nos clients , un developpeur front end
Mission:
• Réaliser des interfaces avec l’équipe UX et solliciter des retours en interne ou en tests utilisateurs selon les recommandations nécessaires.
• Créer de nouveaux composants.
• Afficher des résultats sous différentes formes (courbes, histogrammes, barre graphe, etc.).
 • Réaliser l’intégration HTML ainsi que produire le code CSS/HTML/JS nécessaire et le développement de nouvelles fonctionnalités (javascript/JQuery).
Contexte
Le client recherche un développeur informatique pour renforcer son équipe de développement SI, notamment pour PowerDis et UrbanPrint.
Expérience souhaitée:
• Issu d'une formation BAC+5 en informatique, vous bénéficiez de 3 à 5 ans d’expérience en intégration web.
Mission
• Minimum  6 mois renouvelable"," Frontend,   front end,[ Integrateur Web, CSS3, HTML5,  JavaScript, developpeur, analyse"
Chef de projet Digital Junior,X,"Nous recherchons pour un de nos clients, un chef de projet Digital Junior
Contexte :
• Encadré par un Consultant Senior, il accompagnera le client dans la définition de ses projets Web
Compétences souhaitées:
• Bonne présentation
• Profil école d'ingénieur (Bac +5) 
• Ayant le sens du service, sens fonctionnel, Analyse et Pédagogie, à l’aise à l'oral
•  Au minimum 6 mois d’expériences en développement Web
• Maîtrise orale et écrite du français",digital junior
Consultant SAP Business One,X,"Nous recherchons pour un de nos clients, un consultant SAP Business one 
Contexte
La nouvelle recrue intégrera une équipe de 10 personnes composée d'UX/UI.
Compétences souhaitées
• Mission de soutien d'une solution déjà en place entre la France et la Pologne
entre quart temps et temps complet
Mission
=>Durée 3 mois
","SAP business one, consultant UI UX, assitante MOA, AMOA"
Ingénieur sécurité,X,"Nous recherchons pour un de nos clients, un ingénieur sécurité
Compétences souhaitées:
Mission dans le cadre de C2S Sécurité d'un grand groupe
•  Accompagnement dans la mise en place d'une nouvelle infrastructure sécurité
qualifier de nouvelle version d'Equipment
•  Réaliser des scripts pour optimiser des solutions sécurité ou processus
•  Gérer des incidents sécurité...
•  Connaissance VPN
Firewalling(Palo alto, Fortinet, checkpoint)
gestion IPS
•  Compétence en sécurité d'infrastructure
• Compétence en script développement(Phyton)
Profil ayant déjà travaille en mode projet (pas de run)
Mission 
=>Longue","ingenieur securite, incident, VPN, technique, infrastructure, run"
